crop,health_status,n,p,k,ph,soil_moisture
Maize,Optimal Health,50.92,53.56,82.5,6.96,36.81
Maize,Phosphorus Deficiency,54.88,80.6,61.9,7.25,32.07
Maize,pH Stress,64.29,56.33,40.18,6.11,69.92
Sugarcane,pH Stress,44.18,45.7,42.7,4.77,65.21
Wheat,Nitrogen Deficiency,72.8,69.0,69.38,7.62,36.84
Rice,Optimal Health,64.03,80.04,67.79,5.76,58.36
Rice,Optimal Health,49.9,64.07,71.41,6.76,39.53
Maize,Potassium Toxicity,50.33,54.83,42.85,4.74,37.35
Maize,Potassium Toxicity,48.04,52.33,51.38,5.56,53.0
Wheat,pH Stress,62.47,42.57,71.13,7.45,65.27
Maize,Potassium Toxicity,74.31,55.61,59.89,4.93,68.58
Rice,pH Stress,40.07,66.48,59.48,4.58,52.8
Wheat,Potassium Toxicity,84.59,70.0,48.63,7.63,40.04
Sugarcane,Optimal Health,80.2,58.98,78.89,5.2,44.21
Maize,Potassium Toxicity,57.03,59.05,77.72,5.16,44.47
Maize,Optimal Health,81.1,71.91,56.97,7.01,34.7
Maize,Nitrogen Deficiency,85.42,85.94,79.97,6.66,35.56
Rice,Nitrogen Deficiency,80.03,87.48,86.65,4.7,37.41
Maize,pH Stress,63.2,60.48,74.3,4.65,68.24
Wheat,Nitrogen Deficiency,40.74,66.55,67.26,6.05,60.79
Sugarcane,Optimal Health,89.11,67.1,47.75,5.51,36.43
Sugarcane,pH Stress,72.98,59.46,73.96,7.06,50.18
Rice,pH Stress,61.71,75.33,66.4,7.63,36.51
Rice,pH Stress,76.71,78.17,84.32,5.88,54.04
Rice,pH Stress,57.1,59.71,63.4,6.42,69.22
Sugarcane,Potassium Toxicity,70.61,89.14,89.89,4.69,48.05
Sugarcane,Optimal Health,54.86,57.25,45.99,6.13,31.96
Sugarcane,Nitrogen Deficiency,67.75,73.28,46.53,5.69,32.61
Cotton,Phosphorus Deficiency,67.65,59.27,71.56,7.14,41.47
Sugarcane,Optimal Health,63.45,69.92,63.55,5.92,53.44
Maize,pH Stress,71.87,44.58,59.27,7.25,40.69
Maize,Potassium Toxicity,69.65,80.93,48.88,4.06,62.73
Wheat,Phosphorus Deficiency,71.81,85.34,81.87,6.11,45.13
Rice,pH Stress,55.66,63.78,40.2,5.23,41.07
Cotton,Phosphorus Deficiency,52.54,77.83,79.51,5.11,47.56
Sugarcane,Optimal Health,73.04,65.19,53.52,4.56,37.3
Cotton,Potassium Toxicity,85.75,87.88,55.03,6.35,47.08
Wheat,Nitrogen Deficiency,62.14,78.88,64.57,6.24,41.31
Wheat,pH Stress,72.31,74.97,84.83,7.31,66.82
Rice,Phosphorus Deficiency,70.42,66.64,72.06,7.82,66.62
Wheat,Optimal Health,57.39,74.73,66.25,5.05,30.85
Wheat,Nitrogen Deficiency,52.1,70.03,55.45,5.04,51.12
Sugarcane,Nitrogen Deficiency,42.81,61.33,68.39,5.99,37.55
Sugarcane,Nitrogen Deficiency,53.48,87.46,63.03,4.81,51.84
Maize,Potassium Toxicity,80.69,86.96,85.13,4.93,55.48
Maize,Optimal Health,51.94,55.9,80.91,4.46,68.1
Sugarcane,Phosphorus Deficiency,72.49,42.84,44.86,4.0,33.24
Wheat,pH Stress,83.01,80.64,52.36,4.62,31.4
Wheat,Nitrogen Deficiency,57.57,52.28,67.02,6.38,63.48
Sugarcane,pH Stress,81.72,47.86,66.41,5.1,37.16
Rice,Nitrogen Deficiency,58.69,74.03,89.75,5.57,52.17
Wheat,Nitrogen Deficiency,87.12,70.3,79.62,5.84,55.84
Rice,pH Stress,53.9,59.26,40.6,6.23,59.63
Maize,Potassium Toxicity,47.25,81.87,71.99,7.89,62.29
Wheat,Optimal Health,56.12,88.85,87.56,7.34,44.94
Rice,Potassium Toxicity,46.77,78.95,76.25,7.59,61.06
Maize,Phosphorus Deficiency,43.28,73.95,65.1,6.74,49.92
Cotton,Potassium Toxicity,57.56,57.79,44.52,4.07,58.17
Sugarcane,Phosphorus Deficiency,60.04,77.51,46.39,6.53,64.91
Wheat,Potassium Toxicity,57.52,82.67,48.93,4.43,68.88
Cotton,Phosphorus Deficiency,74.68,58.45,54.42,7.98,46.58
Cotton,Phosphorus Deficiency,43.36,89.99,50.26,7.83,55.85
Wheat,pH Stress,76.47,81.69,58.11,4.15,53.28
Sugarcane,Phosphorus Deficiency,80.47,66.88,46.49,4.92,33.22
Rice,pH Stress,73.21,89.6,74.54,6.28,46.89
Maize,pH Stress,87.62,80.96,46.19,7.86,59.47
Sugarcane,Potassium Toxicity,88.08,43.74,63.45,6.57,64.29
Rice,Potassium Toxicity,50.36,43.19,53.68,5.33,61.49
Wheat,pH Stress,53.64,68.17,61.15,5.97,67.42
Wheat,Potassium Toxicity,43.34,52.74,46.4,4.7,48.78
Rice,Potassium Toxicity,82.55,41.83,56.56,7.85,34.91
Wheat,Nitrogen Deficiency,71.33,41.92,74.69,6.3,34.9
Rice,Phosphorus Deficiency,89.93,44.91,78.19,5.46,65.11
Rice,pH Stress,51.8,62.84,70.9,6.16,32.76
Wheat,Potassium Toxicity,46.81,54.69,72.16,5.92,49.95
Cotton,Nitrogen Deficiency,43.24,61.67,55.1,5.09,63.47
Maize,pH Stress,40.72,50.85,75.49,6.99,42.3
Maize,Optimal Health,79.86,55.67,60.97,7.59,55.37
Maize,Phosphorus Deficiency,61.81,70.99,80.04,6.7,41.54
Maize,Optimal Health,46.57,87.75,77.88,7.63,56.87
Wheat,Potassium Toxicity,40.34,86.86,84.8,7.96,47.1
Rice,Phosphorus Deficiency,68.75,70.12,62.78,6.42,65.41
Maize,pH Stress,88.0,68.18,49.72,4.8,59.03
Wheat,Potassium Toxicity,70.79,83.49,52.31,5.77,33.35
Maize,pH Stress,84.06,83.59,48.08,5.22,43.95
Sugarcane,Potassium Toxicity,79.11,62.17,51.28,7.28,48.22
Rice,pH Stress,41.48,86.25,48.97,5.66,56.84
Rice,Nitrogen Deficiency,71.9,58.63,53.23,4.6,57.68
Cotton,Phosphorus Deficiency,46.2,53.05,52.99,4.29,55.38
Maize,Potassium Toxicity,63.19,64.06,43.8,6.55,67.32
Sugarcane,Potassium Toxicity,88.1,41.05,78.97,7.37,36.24
Cotton,Nitrogen Deficiency,43.54,48.82,86.16,6.02,68.72
Wheat,pH Stress,47.19,64.47,50.38,7.88,48.71
Rice,Phosphorus Deficiency,47.8,83.59,70.21,6.14,50.69
Sugarcane,Potassium Toxicity,74.52,83.16,63.27,5.73,54.39
Sugarcane,Optimal Health,83.59,74.32,57.61,7.52,57.39
Sugarcane,Potassium Toxicity,61.15,74.79,73.25,4.97,43.51
Sugarcane,Phosphorus Deficiency,80.05,47.44,57.66,4.42,52.08
Cotton,pH Stress,64.24,75.99,89.31,7.68,51.03
Sugarcane,Potassium Toxicity,87.92,42.4,61.06,6.61,42.42
Rice,Phosphorus Deficiency,41.78,76.67,80.05,4.1,68.41
Wheat,pH Stress,47.01,42.86,53.55,4.11,43.37
Maize,pH Stress,87.69,51.49,72.12,6.93,31.32
Cotton,Optimal Health,78.74,77.75,63.42,4.15,69.23
Wheat,pH Stress,51.04,74.25,40.51,7.03,65.42
Cotton,Optimal Health,81.04,74.18,77.83,5.33,36.75
Wheat,Phosphorus Deficiency,43.93,41.65,46.94,7.5,33.03
Cotton,pH Stress,85.42,85.84,44.58,7.51,33.99
Wheat,Phosphorus Deficiency,51.18,78.14,43.03,4.92,49.4
Rice,Optimal Health,53.0,47.28,49.73,7.28,37.36
Cotton,Nitrogen Deficiency,45.96,42.41,45.37,5.34,59.21
Cotton,Phosphorus Deficiency,58.53,43.36,78.7,5.07,39.44
Sugarcane,Potassium Toxicity,61.75,52.47,75.71,5.25,37.16
Wheat,Optimal Health,56.79,68.5,76.53,7.43,67.19
Rice,Optimal Health,43.93,89.23,82.83,6.68,63.45
Sugarcane,pH Stress,51.56,56.45,64.43,4.99,45.25
Sugarcane,Optimal Health,79.33,79.4,42.25,6.19,42.34
Rice,Phosphorus Deficiency,86.54,40.97,45.81,7.52,46.85
Maize,Optimal Health,67.83,59.73,88.51,4.82,43.61
Rice,Optimal Health,77.42,55.04,63.06,7.07,61.77
Sugarcane,Phosphorus Deficiency,87.69,86.09,69.32,6.98,51.14
Sugarcane,pH Stress,85.91,47.46,51.6,6.72,32.86
Sugarcane,Nitrogen Deficiency,45.58,44.64,72.11,7.74,67.51
Rice,pH Stress,84.97,58.46,51.14,6.46,43.78
Sugarcane,Potassium Toxicity,80.0,57.12,42.69,7.59,69.26
Sugarcane,Potassium Toxicity,50.48,88.77,56.2,5.15,59.31
Maize,Potassium Toxicity,52.35,89.91,49.05,6.68,48.5
Cotton,Nitrogen Deficiency,42.9,47.72,42.96,7.01,47.22
Sugarcane,pH Stress,73.7,65.66,84.18,5.06,39.59
Cotton,Nitrogen Deficiency,58.67,59.08,79.07,6.5,50.78
Maize,Optimal Health,86.17,51.9,51.71,5.82,32.24
Cotton,Nitrogen Deficiency,73.82,76.79,62.2,4.53,33.06
Cotton,Optimal Health,89.32,69.71,64.99,7.9,50.68
Rice,pH Stress,50.75,72.55,41.52,6.24,57.91
Sugarcane,pH Stress,64.13,44.8,58.02,4.0,53.31
Cotton,Nitrogen Deficiency,67.67,85.77,79.1,4.44,41.87
Cotton,Nitrogen Deficiency,79.45,75.71,59.74,5.76,33.88
Sugarcane,pH Stress,86.06,48.95,80.89,7.44,69.07
Cotton,Phosphorus Deficiency,45.97,48.39,61.44,5.01,39.93
Wheat,Phosphorus Deficiency,69.94,46.98,85.9,6.13,64.35
Sugarcane,Optimal Health,42.97,89.77,47.44,4.08,30.92
Rice,Potassium Toxicity,77.61,84.94,50.78,4.9,49.87
Wheat,Optimal Health,74.17,55.07,82.33,5.88,69.2
Maize,Optimal Health,69.82,60.39,86.49,6.09,45.96
Maize,Phosphorus Deficiency,69.99,71.35,74.64,4.89,46.2
Sugarcane,Optimal Health,47.1,73.57,46.45,6.89,33.74
Rice,Potassium Toxicity,71.41,71.08,61.53,7.92,48.2
Rice,Phosphorus Deficiency,65.57,59.95,76.14,5.5,61.53
Sugarcane,Potassium Toxicity,75.9,44.95,52.91,7.01,40.38
Wheat,Potassium Toxicity,86.51,41.05,73.37,4.44,43.26
Sugarcane,Optimal Health,66.55,75.67,73.43,5.64,41.07
Rice,Optimal Health,73.54,46.24,56.63,7.11,38.84
Maize,Optimal Health,84.15,52.4,71.91,5.86,57.96
Sugarcane,Phosphorus Deficiency,53.01,46.24,61.85,5.61,61.79
Maize,pH Stress,58.66,52.93,41.13,5.21,51.6
Sugarcane,Phosphorus Deficiency,66.0,83.13,74.7,6.31,47.56
Rice,pH Stress,64.64,66.42,83.08,5.77,33.06
Maize,Phosphorus Deficiency,68.22,75.82,84.32,4.24,64.87
Cotton,Phosphorus Deficiency,40.94,80.43,75.15,7.81,41.04
Maize,Phosphorus Deficiency,42.34,41.42,58.28,6.72,53.5
Cotton,Optimal Health,66.18,61.44,76.58,6.39,63.19
Wheat,Potassium Toxicity,77.94,85.91,50.4,6.88,69.36
Maize,pH Stress,50.32,40.67,66.45,6.13,66.65
Sugarcane,Phosphorus Deficiency,57.78,69.37,42.85,5.65,36.97
Wheat,Optimal Health,65.27,85.84,76.87,5.49,54.32
Cotton,Nitrogen Deficiency,41.99,41.39,63.59,4.13,44.53
Cotton,Nitrogen Deficiency,46.71,79.46,80.35,6.07,35.6
Cotton,pH Stress,74.2,43.26,60.62,7.35,57.9
Sugarcane,Potassium Toxicity,62.97,57.16,83.04,6.98,54.55
Wheat,Optimal Health,58.38,71.12,50.2,4.61,57.1
Maize,Nitrogen Deficiency,67.47,46.55,57.07,4.53,51.27
Cotton,Nitrogen Deficiency,69.33,66.19,49.91,5.85,33.89
Sugarcane,pH Stress,79.88,45.55,75.01,5.07,53.96
Sugarcane,pH Stress,42.45,55.2,72.17,7.75,55.32
Rice,Potassium Toxicity,71.72,41.12,80.22,5.12,63.83
Cotton,Optimal Health,40.24,51.23,52.77,7.41,61.49
Sugarcane,Optimal Health,75.32,69.23,46.92,5.12,66.78
Maize,Phosphorus Deficiency,68.34,74.51,62.19,7.48,58.9
Sugarcane,Phosphorus Deficiency,44.79,55.25,84.32,4.65,48.47
Wheat,Nitrogen Deficiency,52.37,56.79,66.85,5.51,40.05
Cotton,Potassium Toxicity,44.31,44.37,60.16,7.82,41.35
Maize,Nitrogen Deficiency,42.03,55.88,80.27,7.55,60.15
Maize,pH Stress,71.3,63.85,42.56,5.49,35.84
Wheat,Optimal Health,84.8,70.85,79.21,7.22,56.96
Sugarcane,Phosphorus Deficiency,79.15,43.21,45.87,6.9,46.93
Wheat,Nitrogen Deficiency,45.6,63.56,73.54,6.6,69.95
Maize,Optimal Health,88.85,66.69,79.95,5.57,45.59
Cotton,Phosphorus Deficiency,57.12,71.87,55.89,7.58,66.89
