crop,health_status,n,p,k,ph,soil_moisture
Rice,Nitrogen Deficiency,22.85,45.11,75.57,6.58,62.84
Maize,Phosphorus Deficiency,87.33,22.2,77.32,6.94,65.82
Wheat,pH Stress,101.7,41.01,69.73,4.72,70.7
Cotton,Optimal Health,90.18,50.84,54.66,6.76,74.74
Rice,Nitrogen Deficiency,23.91,46.03,73.53,6.83,67.97
Cotton,Potassium Toxicity,92.26,43.89,242.28,6.64,81.26
Rice,Potassium Toxicity,103.69,42.58,249.71,6.91,74.24
Wheat,Phosphorus Deficiency,101.63,19.5,66.11,6.79,60.06
Rice,Nitrogen Deficiency,21.18,35.55,64.32,7.0,73.74
Wheat,Potassium Toxicity,81.24,45.45,226.63,7.01,64.95
Rice,Optimal Health,76.87,38.03,74.96,6.58,82.63
Wheat,Nitrogen Deficiency,25.5,57.89,51.0,7.47,68.34
Rice,Potassium Toxicity,90.19,56.89,210.91,6.88,76.75
Sugarcane,Nitrogen Deficiency,27.91,36.55,56.78,7.25,66.24
Cotton,Nitrogen Deficiency,15.33,49.39,69.16,6.64,60.64
Cotton,Optimal Health,113.02,45.49,55.89,6.43,70.33
Rice,Optimal Health,78.33,46.47,52.72,6.43,64.15
Rice,Potassium Toxicity,101.9,38.0,151.28,6.56,77.01
Cotton,Nitrogen Deficiency,19.46,35.67,74.81,6.84,81.63
Maize,Phosphorus Deficiency,99.21,18.09,58.19,6.1,69.38
Sugarcane,pH Stress,75.36,41.33,59.49,4.73,76.85
Maize,Potassium Toxicity,110.15,47.75,161.45,6.91,75.65
Wheat,Potassium Toxicity,88.4,54.12,244.56,6.99,70.79
Wheat,Optimal Health,73.71,47.5,76.66,6.81,70.05
Cotton,Phosphorus Deficiency,92.2,22.55,52.51,7.06,69.74
Rice,pH Stress,104.45,42.56,77.74,4.35,81.96
Cotton,Optimal Health,87.11,44.83,53.26,7.38,66.4
Sugarcane,pH Stress,72.11,41.52,55.2,4.82,72.14
Rice,Potassium Toxicity,88.77,59.2,155.88,6.57,82.45
Wheat,pH Stress,83.19,47.72,74.25,4.32,81.98
Cotton,Phosphorus Deficiency,115.61,11.7,52.87,6.18,83.97
Sugarcane,Potassium Toxicity,73.57,37.58,232.27,6.25,68.82
Maize,Phosphorus Deficiency,111.43,12.69,57.17,7.18,72.83
Cotton,Optimal Health,94.29,44.75,70.95,6.35,71.48
Cotton,Phosphorus Deficiency,73.41,12.7,64.99,6.94,65.55
Wheat,Phosphorus Deficiency,101.47,15.51,60.8,7.07,63.15
Wheat,Potassium Toxicity,92.46,53.32,229.42,6.54,78.29
Rice,pH Stress,97.93,39.02,60.28,4.26,68.72
Rice,pH Stress,103.03,37.78,61.04,4.49,76.61
Maize,Optimal Health,114.57,54.95,55.95,6.5,62.51
Rice,Optimal Health,88.91,41.33,56.41,6.81,76.17
Rice,Optimal Health,110.01,51.53,72.36,6.31,60.41
Maize,Optimal Health,103.14,35.9,72.85,6.05,68.48
Maize,Nitrogen Deficiency,16.31,59.94,57.63,7.26,62.15
Maize,Potassium Toxicity,81.09,56.79,152.97,7.22,77.56
Maize,pH Stress,74.21,57.15,55.85,4.47,83.89
Sugarcane,pH Stress,107.62,36.28,69.95,4.29,64.39
Cotton,Potassium Toxicity,73.93,47.07,241.66,6.66,77.22
Rice,pH Stress,92.54,39.78,53.16,4.83,73.42
Maize,Potassium Toxicity,117.96,54.13,194.21,7.39,69.95
Wheat,Potassium Toxicity,108.87,35.71,204.01,7.02,62.77
Sugarcane,Potassium Toxicity,75.23,39.52,189.83,7.23,65.68
Wheat,Nitrogen Deficiency,12.16,54.16,52.04,7.08,79.09
Maize,Phosphorus Deficiency,104.82,12.16,75.65,6.47,82.27
Maize,pH Stress,115.7,53.68,69.27,4.5,64.6
Wheat,Potassium Toxicity,118.38,38.53,162.63,6.72,77.04
Maize,Optimal Health,104.79,36.31,72.31,7.41,65.62
Wheat,Optimal Health,101.51,52.04,61.08,6.67,67.92
Sugarcane,Nitrogen Deficiency,23.95,52.3,57.95,6.57,79.03
Maize,Optimal Health,118.14,40.56,50.48,6.65,70.51
Wheat,Phosphorus Deficiency,79.62,14.17,53.97,6.0,84.46
Sugarcane,Phosphorus Deficiency,94.58,23.12,59.61,6.63,64.62
Wheat,Nitrogen Deficiency,23.01,40.09,64.62,6.73,69.22
Sugarcane,Potassium Toxicity,107.4,53.12,240.94,7.4,84.1
Maize,pH Stress,119.2,56.5,70.39,5.41,74.41
Cotton,Phosphorus Deficiency,102.72,21.64,75.95,6.99,74.69
Sugarcane,pH Stress,94.96,53.65,60.01,4.85,81.55
Rice,pH Stress,72.14,57.21,78.91,4.04,61.46
Wheat,pH Stress,75.79,43.57,55.71,4.47,64.11
Sugarcane,pH Stress,93.87,55.33,53.1,4.84,66.08
Cotton,Potassium Toxicity,109.35,58.61,153.43,7.28,66.92
Sugarcane,Optimal Health,71.72,43.71,59.48,7.29,78.91
Sugarcane,Nitrogen Deficiency,26.19,49.53,59.05,7.47,81.89
Wheat,pH Stress,89.05,55.12,61.9,5.35,63.97
Cotton,Optimal Health,90.71,41.73,51.15,6.39,61.85
Maize,Optimal Health,83.47,41.12,52.63,6.76,67.48
Sugarcane,Phosphorus Deficiency,97.19,23.55,76.95,7.08,71.69
Maize,pH Stress,85.45,57.05,52.63,5.47,64.13
Wheat,Nitrogen Deficiency,26.34,36.75,79.81,6.8,68.27
Wheat,Phosphorus Deficiency,98.78,12.36,62.25,6.63,70.27
Rice,Nitrogen Deficiency,24.73,47.85,75.65,6.63,68.47
Rice,Optimal Health,85.8,44.24,54.03,6.54,78.08
Rice,Optimal Health,80.08,42.63,55.1,6.43,60.07
Wheat,pH Stress,89.68,42.99,57.28,4.23,63.11
Sugarcane,Phosphorus Deficiency,111.65,21.07,67.9,6.73,74.16
Maize,Potassium Toxicity,94.71,58.01,165.21,6.13,75.67
Rice,Optimal Health,80.02,46.48,78.06,6.02,70.43
Rice,Phosphorus Deficiency,87.29,11.24,61.05,6.19,74.0
Sugarcane,pH Stress,77.33,55.93,61.4,4.25,79.53
Sugarcane,Nitrogen Deficiency,16.31,56.37,51.29,7.38,80.75
Wheat,pH Stress,94.26,40.74,67.22,4.74,82.18
Cotton,Phosphorus Deficiency,84.49,23.55,56.71,6.27,74.62
Maize,Phosphorus Deficiency,99.56,11.85,76.79,7.16,78.65
Wheat,Optimal Health,76.22,54.15,53.74,7.38,79.98
Rice,Phosphorus Deficiency,100.26,14.09,74.63,7.2,79.65
Cotton,Optimal Health,97.3,37.12,50.73,7.41,75.13
Wheat,Nitrogen Deficiency,22.36,39.4,74.65,7.36,67.26
Cotton,Potassium Toxicity,89.73,55.98,207.44,6.17,79.89
Maize,Phosphorus Deficiency,71.89,18.47,75.68,7.49,77.57
Sugarcane,Potassium Toxicity,97.45,57.03,227.03,6.29,73.47
Rice,Optimal Health,115.88,44.8,50.28,6.26,69.59
Wheat,pH Stress,79.52,53.95,64.02,4.51,73.98
Rice,Optimal Health,83.45,42.23,52.95,7.17,61.94
Sugarcane,Phosphorus Deficiency,97.44,14.14,58.68,6.69,79.2
Rice,Optimal Health,91.22,39.74,57.05,6.92,79.02
Cotton,pH Stress,93.69,49.39,55.69,4.73,82.53
Maize,Optimal Health,115.66,42.49,51.34,7.25,70.55
Cotton,Potassium Toxicity,84.44,37.16,187.27,6.9,70.84
Rice,pH Stress,114.78,53.56,57.02,5.11,81.4
Rice,pH Stress,114.6,38.29,69.62,5.01,71.71
Maize,pH Stress,108.69,48.96,67.65,4.33,64.57
Maize,Optimal Health,91.09,49.55,70.3,6.85,60.58
Sugarcane,Phosphorus Deficiency,117.37,21.24,58.96,6.76,77.74
Maize,Nitrogen Deficiency,20.89,38.05,61.91,6.73,73.56
Rice,pH Stress,93.36,56.06,57.48,4.85,74.68
Wheat,Optimal Health,111.2,51.51,53.11,7.02,69.61
Maize,Potassium Toxicity,81.25,37.89,160.17,7.29,82.37
Rice,pH Stress,94.7,47.25,79.12,4.59,69.78
Rice,Potassium Toxicity,89.94,44.82,158.25,6.74,81.66
Maize,Potassium Toxicity,102.68,56.12,204.12,6.52,63.15
Maize,pH Stress,90.2,58.93,66.21,4.55,71.53
Cotton,Potassium Toxicity,88.24,45.53,190.03,7.25,68.41
Wheat,Optimal Health,73.48,45.31,73.76,7.19,67.83
Rice,Optimal Health,94.24,48.33,54.45,6.24,62.49
Maize,Nitrogen Deficiency,12.32,44.11,64.74,6.79,61.67
Rice,pH Stress,76.21,44.07,63.0,4.72,68.57
Cotton,Optimal Health,77.4,37.19,67.23,6.32,78.98
Rice,pH Stress,113.67,56.97,63.63,4.52,64.84
Rice,pH Stress,113.19,45.17,52.75,5.35,68.38
Rice,pH Stress,108.65,58.46,61.54,4.06,69.19
Maize,Potassium Toxicity,108.06,55.77,159.65,6.19,69.62
Wheat,Nitrogen Deficiency,23.72,35.94,54.26,6.47,76.0
Cotton,Nitrogen Deficiency,22.49,39.39,72.8,6.47,81.47
Sugarcane,Optimal Health,80.0,55.35,62.74,6.42,72.54
Maize,pH Stress,103.12,44.24,63.14,5.47,74.85
Sugarcane,Nitrogen Deficiency,22.29,36.69,60.36,6.56,60.49
Maize,Phosphorus Deficiency,70.81,11.59,53.19,6.33,60.61
Wheat,Optimal Health,73.28,57.69,53.75,6.98,61.56
Maize,Potassium Toxicity,91.66,44.2,182.15,7.02,75.06
Cotton,pH Stress,80.35,49.09,69.67,5.01,77.25
Cotton,Potassium Toxicity,104.81,47.91,183.07,6.71,79.62
Wheat,Optimal Health,92.77,58.32,75.29,7.25,69.77
Sugarcane,Nitrogen Deficiency,14.0,51.03,57.76,6.45,72.73
Rice,Phosphorus Deficiency,98.74,16.86,61.06,7.05,68.43
Rice,Optimal Health,88.63,37.15,61.08,6.93,80.26
Maize,Optimal Health,80.6,35.09,65.55,6.85,75.41
Wheat,Potassium Toxicity,93.2,54.42,198.29,6.53,70.36
Cotton,Nitrogen Deficiency,28.1,53.79,65.46,6.31,83.07
Cotton,Nitrogen Deficiency,24.94,44.19,59.31,6.64,72.56
Cotton,Phosphorus Deficiency,105.81,16.77,75.89,6.98,62.1
Wheat,pH Stress,74.16,54.19,78.97,4.54,68.84
Maize,Phosphorus Deficiency,89.1,17.04,50.85,7.49,67.0
Wheat,pH Stress,105.05,40.93,76.9,5.05,83.62
Cotton,Phosphorus Deficiency,90.04,19.25,53.64,6.74,66.68
Sugarcane,Optimal Health,116.27,50.25,52.99,6.85,72.34
Cotton,Optimal Health,111.86,55.42,69.96,6.38,66.77
Maize,pH Stress,75.66,36.52,76.09,5.25,77.86
Maize,pH Stress,108.48,36.09,58.74,4.32,62.03
Wheat,Nitrogen Deficiency,11.94,57.86,57.51,7.43,68.32
Sugarcane,Phosphorus Deficiency,89.28,10.09,55.08,7.19,83.48
Sugarcane,Phosphorus Deficiency,96.67,21.16,77.23,7.45,71.17
Sugarcane,Phosphorus Deficiency,100.58,13.93,59.59,6.18,80.31
Rice,pH Stress,75.77,56.68,66.96,5.3,80.99
Wheat,pH Stress,97.22,52.29,71.16,4.94,73.51
Cotton,Potassium Toxicity,82.24,39.21,221.15,6.31,63.13
Sugarcane,Phosphorus Deficiency,94.54,16.19,52.15,7.22,68.08
Maize,Phosphorus Deficiency,110.64,16.5,70.95,6.07,77.82
Rice,Nitrogen Deficiency,29.95,41.3,65.31,6.83,73.85
Sugarcane,Potassium Toxicity,82.84,53.99,227.25,7.08,80.1
Maize,Optimal Health,103.13,40.55,65.99,6.59,78.67
Sugarcane,pH Stress,73.26,41.87,57.86,4.05,79.89
Wheat,Nitrogen Deficiency,10.53,36.8,50.47,7.36,69.15
Maize,pH Stress,79.6,59.57,55.3,5.11,79.08
Sugarcane,Phosphorus Deficiency,82.21,12.67,51.24,6.34,81.06
Wheat,Optimal Health,90.4,57.54,79.52,6.3,61.38
Wheat,Nitrogen Deficiency,24.95,56.82,61.45,6.77,66.03
Wheat,Optimal Health,113.68,55.67,50.27,6.91,63.48
Rice,Nitrogen Deficiency,13.1,38.35,73.7,7.23,76.29
Wheat,Optimal Health,104.34,58.2,67.1,7.35,65.53
Maize,Potassium Toxicity,117.44,55.16,161.86,6.22,66.34
Maize,pH Stress,101.26,57.19,57.41,4.48,71.43
Rice,Optimal Health,115.45,52.63,52.89,7.09,78.25
Sugarcane,Optimal Health,95.43,59.98,68.07,7.17,78.34
Cotton,Optimal Health,117.27,38.18,59.47,6.77,73.38
Wheat,pH Stress,112.33,52.59,64.56,4.89,63.85
Maize,Optimal Health,82.63,55.39,73.69,7.12,66.28
Sugarcane,Nitrogen Deficiency,23.0,58.82,64.81,6.99,66.41
Sugarcane,pH Stress,80.86,35.57,75.43,4.02,78.16
Wheat,Potassium Toxicity,97.91,43.09,223.83,6.32,64.87
Rice,Nitrogen Deficiency,13.12,54.24,64.37,7.09,77.54
Wheat,Nitrogen Deficiency,27.28,42.88,69.73,6.4,64.56
Cotton,pH Stress,74.71,44.44,59.22,5.29,83.41
Cotton,Optimal Health,84.08,36.83,73.68,6.85,76.28
Rice,Optimal Health,73.3,55.71,76.91,7.34,80.1
Sugarcane,pH Stress,79.24,47.28,50.87,5.13,64.96
Sugarcane,pH Stress,81.81,42.08,72.56,4.08,72.09
Maize,Nitrogen Deficiency,26.14,41.59,57.63,6.34,74.85
Sugarcane,Phosphorus Deficiency,93.14,19.57,76.75,6.58,67.61
Wheat,Potassium Toxicity,101.47,52.22,235.48,7.27,69.65
Cotton,Optimal Health,73.76,39.1,53.71,6.94,78.96
Maize,pH Stress,112.45,56.08,56.59,4.63,65.78
Rice,Nitrogen Deficiency,16.84,43.16,73.55,6.35,66.5
Rice,Phosphorus Deficiency,87.3,12.57,73.5,6.28,70.07
Cotton,Optimal Health,106.0,51.84,65.19,6.39,74.98
Rice,pH Stress,74.37,57.69,75.3,4.87,63.94
Rice,pH Stress,94.84,54.13,50.42,4.43,84.01
Cotton,Potassium Toxicity,114.93,47.89,246.62,6.39,74.62
Cotton,Phosphorus Deficiency,100.02,18.95,58.3,6.45,76.04
Rice,pH Stress,70.27,55.52,67.89,4.8,76.7
Rice,Nitrogen Deficiency,17.86,47.23,56.68,6.31,66.65
Sugarcane,Potassium Toxicity,94.08,41.22,159.43,7.5,84.76
Wheat,Optimal Health,73.67,51.97,59.92,7.46,81.62
Rice,Optimal Health,92.16,58.07,71.37,6.07,68.46
Rice,Potassium Toxicity,95.59,45.44,234.34,6.64,78.05
Maize,Potassium Toxicity,109.21,41.22,166.23,7.21,72.84
Cotton,Phosphorus Deficiency,89.89,20.28,53.83,6.23,67.11
Wheat,Nitrogen Deficiency,20.86,37.13,52.47,6.52,76.58
Maize,Optimal Health,84.89,58.98,51.4,6.46,81.06
Rice,Potassium Toxicity,107.02,58.95,176.38,7.34,77.79
Rice,Optimal Health,86.93,51.25,65.46,7.22,64.44
Wheat,Optimal Health,87.54,52.78,75.78,7.17,78.94
Rice,Optimal Health,97.35,43.07,73.75,6.02,84.15
Rice,Nitrogen Deficiency,11.15,42.84,53.4,6.0,77.67
Cotton,Nitrogen Deficiency,24.09,54.04,61.86,6.51,84.85
Rice,Potassium Toxicity,110.07,58.04,240.05,6.17,60.66
Wheat,Potassium Toxicity,114.96,54.41,217.16,6.08,76.13
Wheat,Potassium Toxicity,75.84,55.78,178.87,6.27,66.81
Maize,Nitrogen Deficiency,13.82,52.55,76.9,6.19,77.14
Sugarcane,pH Stress,117.38,47.7,66.1,4.74,75.68
Maize,Phosphorus Deficiency,94.75,15.1,62.87,7.04,72.56
Wheat,Phosphorus Deficiency,72.78,11.17,74.63,6.83,70.5
Maize,Potassium Toxicity,110.07,46.63,161.27,6.05,81.78
Wheat,Phosphorus Deficiency,99.14,20.24,75.89,6.52,82.8
Sugarcane,Optimal Health,100.36,58.73,67.65,7.06,60.91
Sugarcane,Optimal Health,89.79,35.34,58.18,6.07,78.06
Maize,Phosphorus Deficiency,85.38,17.7,71.13,6.59,76.74
Wheat,Potassium Toxicity,70.76,56.73,242.4,6.41,82.33
Wheat,Phosphorus Deficiency,84.48,23.79,68.98,7.17,76.6
Rice,Phosphorus Deficiency,81.97,19.54,67.85,7.02,62.76
Sugarcane,Potassium Toxicity,104.4,37.58,177.15,7.05,71.52
Sugarcane,Phosphorus Deficiency,95.32,21.49,64.02,6.1,71.19
Wheat,Optimal Health,77.35,54.18,79.91,6.59,77.54
Cotton,Phosphorus Deficiency,82.31,18.09,63.71,7.44,62.86
Wheat,Optimal Health,116.55,36.51,56.38,6.89,79.06
Rice,pH Stress,108.57,44.06,54.81,4.29,65.32
Sugarcane,Optimal Health,79.71,37.97,75.96,6.79,84.76
Maize,pH Stress,115.93,50.85,72.98,5.36,82.68
Cotton,Optimal Health,91.74,53.69,75.32,6.95,82.92
Cotton,Phosphorus Deficiency,83.6,13.76,68.38,6.39,84.54
Rice,Nitrogen Deficiency,26.4,57.15,68.31,6.92,60.51
Sugarcane,Optimal Health,75.2,52.0,59.02,6.76,79.85
Cotton,Optimal Health,76.27,40.93,77.69,6.58,84.67
Rice,Optimal Health,92.23,54.15,73.6,6.24,71.84
Maize,Optimal Health,84.51,36.65,62.77,6.37,64.22
Rice,Nitrogen Deficiency,27.77,44.82,58.19,6.4,63.68
Cotton,Phosphorus Deficiency,77.83,10.56,66.99,6.23,69.52
Wheat,pH Stress,98.22,44.61,52.31,4.1,82.43
Cotton,Phosphorus Deficiency,83.48,12.83,77.05,7.27,71.64
Maize,Phosphorus Deficiency,100.01,16.13,79.0,6.88,83.36
Rice,pH Stress,77.24,45.23,68.2,4.45,77.83
Cotton,Potassium Toxicity,104.39,49.48,181.95,6.89,69.04
Rice,Optimal Health,78.98,44.36,57.03,7.48,75.51
Maize,pH Stress,97.15,50.65,54.73,4.9,61.48
Rice,Nitrogen Deficiency,23.57,41.57,59.61,6.88,78.41
Wheat,pH Stress,78.01,36.02,60.2,5.19,65.39
Cotton,Phosphorus Deficiency,84.75,20.49,64.97,6.3,82.32
Maize,pH Stress,82.35,53.85,74.55,4.94,77.4
Rice,Potassium Toxicity,85.07,53.79,155.22,7.09,62.46
Rice,Optimal Health,80.51,51.32,62.58,6.67,64.14
Sugarcane,Phosphorus Deficiency,98.2,10.16,62.78,7.42,66.18
Rice,Phosphorus Deficiency,84.15,14.93,79.96,6.21,66.44
Maize,pH Stress,77.23,39.55,69.49,5.22,61.67
Cotton,pH Stress,116.53,41.46,67.55,5.22,70.85
Maize,Phosphorus Deficiency,70.03,13.84,65.34,6.74,66.05
Cotton,Optimal Health,107.34,40.34,52.76,6.77,62.41
Cotton,Phosphorus Deficiency,80.44,18.36,79.9,6.21,78.48
Rice,Phosphorus Deficiency,74.99,18.46,61.83,6.09,83.83
Wheat,Optimal Health,107.35,35.82,50.08,6.24,62.15
Cotton,pH Stress,79.63,47.44,51.9,4.49,76.03
Cotton,Potassium Toxicity,109.2,48.92,226.8,6.39,65.89
Cotton,Phosphorus Deficiency,72.26,10.39,66.08,7.36,72.59
Maize,Phosphorus Deficiency,75.44,22.38,58.02,6.5,67.68
Rice,Nitrogen Deficiency,14.76,46.23,70.1,6.23,76.04
Cotton,pH Stress,101.23,47.54,63.81,4.03,83.42
Sugarcane,pH Stress,74.46,37.33,71.73,4.08,83.72
Cotton,Phosphorus Deficiency,92.66,12.66,56.4,6.86,60.78
Sugarcane,Potassium Toxicity,70.24,37.52,154.04,6.62,61.03
Rice,Phosphorus Deficiency,88.93,14.17,57.7,6.61,60.63
Sugarcane,Optimal Health,87.27,54.74,68.23,7.15,61.83
Cotton,Optimal Health,99.61,51.3,61.64,6.89,64.58
Maize,Optimal Health,103.18,36.04,53.94,6.43,72.08
Wheat,Potassium Toxicity,101.62,39.3,178.12,7.27,72.42
Maize,pH Stress,104.71,43.49,66.48,4.09,71.56
Maize,Phosphorus Deficiency,102.0,24.15,75.18,6.28,63.65
Sugarcane,Phosphorus Deficiency,81.93,10.38,79.29,7.01,64.1
Rice,Nitrogen Deficiency,18.32,45.68,69.3,6.77,70.96
Wheat,Phosphorus Deficiency,84.53,18.71,65.6,6.68,62.56
Maize,Nitrogen Deficiency,18.86,52.72,67.5,6.86,73.56
Wheat,Phosphorus Deficiency,106.45,14.51,52.79,6.71,81.59
Sugarcane,Nitrogen Deficiency,25.13,41.66,54.73,6.78,66.16
Wheat,Optimal Health,99.5,49.96,56.93,6.22,71.77
Maize,Optimal Health,87.54,40.55,66.29,7.3,63.94
Cotton,Phosphorus Deficiency,88.2,20.25,73.14,6.09,76.93
Wheat,Nitrogen Deficiency,17.4,38.68,76.21,6.38,84.19
Maize,Optimal Health,106.55,50.9,76.36,6.42,65.87
Cotton,Nitrogen Deficiency,12.32,53.17,52.08,6.94,61.54
Wheat,Nitrogen Deficiency,26.99,42.63,69.55,6.47,75.73
Sugarcane,Potassium Toxicity,91.41,54.93,209.32,6.97,69.57
Cotton,Phosphorus Deficiency,73.29,18.85,72.08,6.72,69.4
Cotton,pH Stress,73.85,44.67,51.48,5.2,84.67
Wheat,pH Stress,97.93,37.89,79.92,5.45,77.66
Maize,Optimal Health,116.35,39.78,71.6,6.67,76.06
Maize,pH Stress,99.51,50.87,53.79,5.46,64.81
Sugarcane,Optimal Health,106.26,49.63,71.71,6.64,61.97
Cotton,Optimal Health,80.1,50.79,66.23,6.73,65.81
Sugarcane,Optimal Health,109.36,56.64,51.5,7.0,84.48
Cotton,Optimal Health,115.58,36.49,58.81,6.58,62.05
Sugarcane,pH Stress,97.68,51.57,79.24,4.96,70.99
Rice,pH Stress,105.82,51.45,71.51,4.39,77.4
Cotton,Potassium Toxicity,110.91,48.37,214.22,6.94,60.13
Sugarcane,Potassium Toxicity,76.32,42.69,233.42,6.46,73.57
Cotton,Phosphorus Deficiency,87.36,17.11,58.24,6.07,77.01
Rice,Potassium Toxicity,112.83,44.78,220.52,7.43,60.78
Wheat,pH Stress,77.57,50.62,63.96,5.11,69.49
Rice,Optimal Health,111.95,57.6,57.65,6.62,66.73
Maize,Phosphorus Deficiency,110.79,10.53,52.15,6.08,79.86
Maize,Nitrogen Deficiency,21.66,49.91,65.06,6.74,66.78
Rice,Nitrogen Deficiency,21.08,53.95,70.38,6.36,60.09
Maize,Phosphorus Deficiency,92.98,10.45,79.02,6.94,71.7
Wheat,Nitrogen Deficiency,12.45,50.86,67.09,6.86,72.85
Cotton,Optimal Health,97.66,39.2,61.99,7.35,84.4
Cotton,pH Stress,107.23,39.56,65.07,4.24,61.08
Sugarcane,pH Stress,101.65,42.98,50.85,4.72,79.66
Cotton,Optimal Health,116.73,49.96,70.16,6.2,64.61
Cotton,Optimal Health,82.24,39.48,63.51,6.68,64.84
Wheat,Nitrogen Deficiency,25.93,42.32,68.57,6.12,61.83
Cotton,Phosphorus Deficiency,107.79,13.46,50.57,6.91,70.88
Cotton,Potassium Toxicity,75.62,52.49,160.28,7.16,63.06
Sugarcane,Optimal Health,114.86,46.35,63.76,6.19,70.86
Maize,Phosphorus Deficiency,106.82,10.42,66.32,7.49,65.62
Maize,Phosphorus Deficiency,114.86,16.4,70.95,6.3,70.68
Cotton,Nitrogen Deficiency,13.94,48.97,74.85,7.29,69.22
Cotton,Optimal Health,99.69,58.6,79.28,6.51,78.43
Rice,Phosphorus Deficiency,119.63,12.76,68.91,7.2,65.17
Sugarcane,Nitrogen Deficiency,13.82,42.14,55.32,6.22,71.24
Cotton,pH Stress,78.86,46.54,76.75,4.51,71.88
Cotton,Optimal Health,109.41,39.79,66.23,6.25,64.78
Rice,Phosphorus Deficiency,112.47,12.69,78.91,6.76,65.69
Rice,Phosphorus Deficiency,90.51,13.33,52.7,6.38,62.78
Cotton,Nitrogen Deficiency,23.17,43.1,58.97,6.32,71.72
Wheat,Potassium Toxicity,95.05,45.4,202.06,6.48,73.64
Wheat,Optimal Health,81.1,39.51,59.03,6.71,80.62
Sugarcane,Optimal Health,71.95,42.25,64.98,7.46,72.47
Maize,Optimal Health,113.39,38.37,60.78,6.29,70.13
Sugarcane,Phosphorus Deficiency,70.31,18.44,60.82,6.48,84.75
Sugarcane,Phosphorus Deficiency,77.4,18.84,63.78,6.56,62.57
Rice,pH Stress,104.53,58.44,50.78,4.34,62.94
Maize,Potassium Toxicity,89.26,43.37,241.79,6.15,83.33
Sugarcane,Potassium Toxicity,102.61,58.3,186.78,6.13,83.75
Sugarcane,Nitrogen Deficiency,28.77,54.3,53.52,7.08,78.25
Maize,Optimal Health,71.54,38.69,66.05,6.81,77.25
Sugarcane,Nitrogen Deficiency,21.32,44.22,66.99,6.96,70.98
Maize,Phosphorus Deficiency,79.03,14.87,70.01,6.94,72.22
Maize,pH Stress,77.63,47.61,63.25,4.37,74.27
Wheat,Optimal Health,85.72,53.93,71.35,7.04,81.69
Wheat,Phosphorus Deficiency,82.82,20.98,77.88,6.26,83.99
Maize,Nitrogen Deficiency,22.92,57.91,55.69,6.13,66.18
Rice,Potassium Toxicity,81.45,59.54,239.24,6.19,63.59
Maize,Optimal Health,91.52,46.0,54.88,7.24,73.26
Rice,pH Stress,101.48,59.73,57.87,5.13,81.95
Maize,Phosphorus Deficiency,74.73,17.24,72.45,6.67,63.41
Wheat,pH Stress,111.54,44.46,55.76,4.15,64.89
Wheat,Optimal Health,86.07,55.36,76.05,6.07,78.22
Wheat,Potassium Toxicity,85.05,46.09,153.04,6.01,81.5
Maize,Phosphorus Deficiency,108.81,10.66,73.9,7.32,62.0
Maize,Phosphorus Deficiency,92.97,19.09,79.76,6.96,62.5
Maize,Optimal Health,96.37,37.54,56.69,6.51,70.01
Cotton,pH Stress,74.48,50.48,57.18,5.48,77.11
Maize,pH Stress,86.56,50.82,64.18,4.94,84.68
Wheat,Nitrogen Deficiency,20.12,53.58,69.32,7.08,62.43
Maize,Nitrogen Deficiency,21.98,44.81,77.63,6.54,74.79
Cotton,Phosphorus Deficiency,108.23,13.64,78.01,7.15,81.29
Rice,Nitrogen Deficiency,20.68,38.59,66.87,7.45,84.0
Maize,Phosphorus Deficiency,89.35,20.53,61.82,6.56,60.41
Sugarcane,Nitrogen Deficiency,22.01,43.88,55.66,6.71,77.0
Cotton,Potassium Toxicity,90.02,46.61,238.67,7.47,74.89
Maize,Phosphorus Deficiency,85.72,18.92,76.94,6.75,75.97
Rice,pH Stress,101.86,39.1,50.99,5.08,76.81
Maize,Potassium Toxicity,112.17,58.55,226.59,6.45,78.24
Maize,pH Stress,85.66,42.34,68.72,4.31,70.1
Maize,pH Stress,80.07,53.01,58.19,5.43,60.53
Maize,Potassium Toxicity,111.65,38.44,194.23,6.07,65.17
Cotton,Nitrogen Deficiency,11.53,39.02,72.44,6.86,82.14
Rice,Potassium Toxicity,75.41,56.4,167.42,6.05,79.8
Rice,Optimal Health,98.07,39.78,68.1,7.18,68.93
Sugarcane,Nitrogen Deficiency,18.23,56.15,56.05,6.99,66.07
Rice,Phosphorus Deficiency,75.45,24.12,73.58,7.07,68.08
Wheat,pH Stress,73.16,55.23,52.04,4.15,78.93
Sugarcane,Nitrogen Deficiency,18.21,50.35,57.52,6.07,79.63
Maize,Phosphorus Deficiency,92.5,17.62,65.35,6.07,78.26
Sugarcane,Phosphorus Deficiency,104.16,18.68,79.75,6.22,61.1
Maize,Phosphorus Deficiency,118.93,20.66,69.3,6.67,60.73
Maize,Potassium Toxicity,107.4,47.27,198.99,7.22,73.38
Cotton,Phosphorus Deficiency,101.51,19.86,77.83,6.38,72.63
Sugarcane,Nitrogen Deficiency,11.47,53.63,68.22,6.91,83.68
Sugarcane,Potassium Toxicity,99.72,56.67,241.18,7.22,71.93
Maize,Nitrogen Deficiency,11.22,45.73,53.1,6.78,84.57
Rice,Phosphorus Deficiency,85.8,22.04,70.35,7.25,72.97
Sugarcane,Optimal Health,87.67,38.57,73.36,7.12,77.89
